,Type,Prompt,intent,level
0,Group,"Add expense of $20 to group ""Travel Friends""",add_expense,L1
1,Group,Add rent of $1200 to House Bills group,add_expense,L1
2,Group,Add $95 groceries to “House Bills” group,add_expense,L1
3,Group,Add a $350 software charge to Startup Budget group,add_expense,L2
4,Group,Log $60 Spotify family plan to Monthly Subscriptions,add_expense,L2
5,Group,Add equipment bill of $480 to Band Practice group,add_expense,L2
6,Group,Add a dinner bill of $240 to Tahoe trip group,add_expense,L2
7,Group,"Add Sarah to ""Startup Budget"" group",add_member,L1
8,Group,"Add Charlie to group ""Travel Friends""",add_member,L1
9,Group,Add Mike to the House Bills group,add_member,L1
10,Group,"Add multiple people: Josh, Amy, and Chris to Tahoe Trip",add_member,L2
11,Group,What’s my share of rent in House Bills?,check_balance,L1
12,Group,Do I owe the group money?,check_balance,L2
13,Group,What’s my total due across all groups?,check_balance,L2
14,Group,Do I owe anyone in the Startup Budget group?,check_balance,L2
15,Group,How much do I owe in the group for my band practice?,check_balance,L2
16,Group,Am I owed money from groups?,check_balance,L2
17,Group,"Create a group called ""Travel Friends"" with Bob and Alice",create_group,L1
18,Group,Create a new group “Monthly Subscriptions” with Alex & Ben,create_group,L1
19,Group,"Start a group called ""Startup Budget"" with John and Emma",create_group,L1
20,Group,Make a group for “House Bills” with Lisa and Tom,create_group,L1
21,Group,Show breakdown for Weekend Warriors group,group_summary,L2
22,Group,Show me a summary of the group for my band practice,group_summary,L2
23,Group,Show full activity of Startup Budget group,group_summary,L3
24,Group,Summary of all groups with pending balances,group_summary,L3
25,Group,Hide all my groups with zero balance,hide_groups,L2
26,Group,Hide all inactive groups,hide_groups,L2
27,Group,Hide all my groups that are already settled,hide_groups,L2
28,Group,Hide the group for my recent trip to Tahoe if it’s settled,hide_groups,L3
29,Group,Hide any closed-out groups from last year,hide_groups,L3
30,Group,Exit from Startup Budget group,leave_group,L1
31,Group,Leave the “Startup Budget” and “Band Practice” groups,leave_group,L3
32,Group,Leave all the groups with @michael in it,leave_group,L3
33,Group,Leave all the groups where I paid everything,leave_group,L3
34,Group,"Pay group ""Travel Friends""",pay_group,L1
35,Group,Pay off rent in House Bills group,pay_group,L1
36,Group,Pay $175 in Startup Budget group,pay_group,L1
37,Group,Pay everything I owe across all groups,pay_group,L3
38,Group,Generate an invite link for the Startup Budget group,share_group,L2
39,Group,"Create a group link for ""House Bills"" for new roommate",share_group,L2
40,Group,Get a shareable link to the group for Tahoe trip,share_group,L2
41,Group,Share a link for my band practice group,share_group,L2
42,Group,What groups am I in?,view_groups,L1
43,Group,What’s the most active group I’m in?,view_groups,L3
44,Group,List all groups I’ve joined this month,view_groups,L3
45,Group,List all my groups with over 3 members,view_groups,L3
46,P2P,Fund my Venmo with $90 from Chase,add_money,L1
47,P2P,Top up my account by $50,add_money,L1
48,P2P,Load $25 from my Wells Fargo account,add_money,L1
